StudentID,Gender,Parent_income,IQ,Encourage,Plan
4558,male,53900,118,encourage,plan
4561,female,24900,87,not encourage,not plan
4563,female,65800,93,not encourage,not plan
4565,male,11440,117,encourage,plan
4567,female,16700,102,not encourage,not plan
4568,female,47630,100,encourage,plan
4570,male,49680,81,encourage,not plan
4572,female,39820,127,encourage,plan
4574,female,4860,95,encourage,not plan
4580,male,65340,100,encourage,not plan
4581,female,66550,112,encourage,plan
4583,female,43000,120,not encourage,plan
4585,female,57000,125,not encourage,not plan
4587,female,76670,119,encourage,plan
4590,female,7700,61,not encourage,not plan
4594,male,42750,106,encourage,not plan
4597,male,15840,72,encourage,not plan
4603,female,62800,63,not encourage,not plan
4607,male,49100,101,not encourage,not plan
4612,male,63910,106,encourage,plan
4613,female,49300,108,not encourage,not plan
4614,female,31600,115,not encourage,not plan
4615,female,20800,83,not encourage,not plan
4616,male,70730,105,encourage,plan
4617,female,40810,117,encourage,plan
4620,female,34900,96,not encourage,not plan
4622,male,51040,130,encourage,plan
4624,male,14130,138,encourage,not plan
4625,male,71060,129,encourage,plan
4628,female,59180,107,encourage,plan
4629,female,31600,109,not encourage,not plan
4630,female,67700,97,not encourage,not plan
4634,female,12300,104,not encourage,not plan
4635,female,37980,116,encourage,not plan
4637,female,5000,106,not encourage,not plan
4638,male,35640,97,encourage,not plan
4639,male,45540,71,encourage,not plan
4640,female,46900,101,not encourage,not plan
4642,female,30030,99,encourage,plan
4643,female,70000,103,not encourage,not plan
4644,male,46600,62,not encourage,not plan
4646,female,18500,62,not encourage,not plan
4649,male,67800,86,not encourage,not plan
4651,female,17300,101,not encourage,not plan
4652,male,31600,61,not encourage,not plan
4653,male,44460,102,encourage,not plan
4654,female,44000,134,encourage,plan
4655,female,39960,113,encourage,not plan
4656,female,7200,60,not encourage,not plan
4658,female,67050,106,encourage,not plan
4659,female,36360,133,encourage,not plan
4660,male,34500,110,not encourage,not plan
4661,male,25700,68,not encourage,not plan
4663,female,20340,71,encourage,not plan
4664,male,35860,107,encourage,plan
4665,female,45430,95,encourage,plan
4667,female,35800,124,not encourage,not plan
4668,female,26550,75,encourage,not plan
4671,female,56430,102,encourage,not plan
4673,male,33300,103,not encourage,not plan
4674,male,68090,127,encourage,plan
4679,male,42030,103,encourage,not plan
4680,female,7810,106,encourage,plan
4684,male,57100,81,not encourage,not plan
4688,male,29340,115,encourage,not plan
4690,female,45630,121,encourage,not plan
4693,female,36500,76,not encourage,not plan
4694,male,57200,136,encourage,plan
4695,female,38340,106,encourage,not plan
4697,female,53000,107,not encourage,plan
4698,female,5220,102,encourage,not plan
4700,male,39900,78,not encourage,not plan
4705,female,45270,131,encourage,not plan
4706,male,80190,134,encourage,plan
4710,female,10700,96,not encourage,not plan
4712,female,52300,101,not encourage,not plan
4713,female,37600,100,not encourage,not plan
4714,female,13900,83,not encourage,not plan
4717,male,16290,99,encourage,not plan
4718,female,35200,129,not encourage,not plan
4720,female,64240,132,encourage,plan
4721,male,57200,126,encourage,plan
4722,male,38300,127,not encourage,not plan
4723,female,74470,103,encourage,plan
4724,female,23900,95,not encourage,not plan
4726,female,75570,100,encourage,plan
4728,male,44330,100,encourage,plan
4729,male,34920,71,encourage,not plan
4730,female,52690,90,encourage,plan
4731,female,46900,98,not encourage,not plan
4732,male,40800,109,not encourage,not plan
4733,female,36360,87,encourage,not plan
4734,male,54340,103,encourage,plan
4736,female,22500,126,not encourage,not plan
4737,male,8800,83,not encourage,not plan
4742,female,49280,104,encourage,plan
4744,female,32670,129,encourage,not plan
4748,male,50380,107,encourage,plan
4750,female,11000,132,not encourage,not plan
4752,female,39600,74,encourage,not plan
4753,female,48510,112,encourage,plan
4754,female,74300,138,not encourage,plan
4757,female,22770,67,encourage,plan
4758,male,17700,61,not encourage,not plan
4759,male,57600,94,encourage,not plan
4763,female,48200,104,not encourage,not plan
4766,female,45300,61,not encourage,not plan
4768,male,30360,115,encourage,plan
4769,male,42930,106,encourage,not plan
4773,female,43560,110,encourage,plan
4774,female,44660,118,encourage,plan
4775,female,49000,60,not encourage,not plan
4777,male,33840,88,encourage,not plan
4779,female,32900,70,not encourage,not plan
4781,male,44010,81,encourage,not plan
4782,female,31800,90,not encourage,not plan
4783,male,14700,81,not encourage,not plan
4785,male,31400,126,not encourage,not plan
4787,female,19900,131,not encourage,not plan
4788,male,34700,127,not encourage,not plan
4790,female,35860,74,encourage,plan
4791,female,23300,91,not encourage,not plan
4792,male,36270,60,encourage,not plan
4794,male,45760,98,encourage,plan
4796,female,23600,87,not encourage,not plan
4797,female,52600,82,not encourage,not plan
4799,male,21000,103,not encourage,not plan
4801,male,43290,103,encourage,not plan
4804,female,30300,95,not encourage,not plan
4805,male,35100,91,not encourage,not plan
4808,male,48800,110,not encourage,not plan
4809,female,40500,94,not encourage,not plan
4810,female,11300,76,not encourage,not plan
4812,male,40860,79,encourage,not plan
4815,female,34700,115,not encourage,plan
4818,female,21600,75,not encourage,not plan
4820,female,36800,119,not encourage,not plan
4821,male,39490,128,encourage,plan
4822,female,31900,100,not encourage,not plan
4825,female,33300,90,not encourage,not plan
4826,male,38430,87,encourage,not plan
4827,male,56430,132,encourage,plan
4828,female,17100,87,not encourage,not plan
4832,male,10200,88,not encourage,not plan
4833,female,34700,135,not encourage,not plan
4835,male,39000,109,not encourage,not plan
4841,male,45900,72,encourage,not plan
4846,female,37400,65,not encourage,not plan
4848,female,14600,109,not encourage,not plan
4853,female,40400,99,not encourage,not plan
4854,female,22400,72,not encourage,plan
4855,female,11000,86,not encourage,not plan
4856,female,55440,104,encourage,not plan
4857,male,27700,133,not encourage,not plan
4861,male,34430,106,encourage,plan
4862,female,13900,103,not encourage,not plan
4863,female,38100,114,not encourage,not plan
4864,female,28200,69,not encourage,not plan
4866,male,55110,137,encourage,plan
4868,male,60930,107,encourage,not plan
4869,female,24800,102,not encourage,not plan
4871,male,53790,73,encourage,plan
4874,female,80300,129,encourage,plan
4875,female,52140,138,encourage,plan
4876,female,10200,104,not encourage,not plan
4878,male,49390,130,encourage,plan
4879,female,11700,93,not encourage,not plan
4880,male,40300,90,not encourage,not plan
4881,male,33770,110,encourage,plan
4882,female,22400,79,not encourage,not plan
4883,male,71390,101,encourage,plan
4885,male,55000,134,encourage,plan
4886,male,44370,91,encourage,not plan
4890,female,65400,91,not encourage,not plan
4892,female,5200,106,not encourage,not plan
4894,female,37710,99,encourage,not plan
4895,male,77660,109,encourage,plan
4898,female,32100,75,not encourage,not plan
4899,male,32000,94,not encourage,not plan
4903,female,11220,122,encourage,plan
4907,male,24090,96,encourage,plan
4910,male,54670,80,encourage,plan
4911,male,19440,107,encourage,not plan
4912,male,6660,98,encourage,not plan
4913,male,40680,90,encourage,not plan
4914,female,39060,104,encourage,not plan
4916,female,18800,94,not encourage,not plan
4921,male,33700,94,not encourage,not plan
4923,female,45200,107,not encourage,not plan
4924,male,37400,69,not encourage,not plan
4925,female,30500,95,not encourage,not plan
4927,male,33400,65,not encourage,not plan
4929,male,11800,111,not encourage,not plan
4930,male,38610,135,encourage,plan
4931,male,45450,106,encourage,not plan
4933,male,31500,107,not encourage,not plan
4935,male,69850,105,encourage,plan
4937,female,57600,118,encourage,not plan
4940,male,46640,91,encourage,plan
4941,female,18450,115,encourage,not plan
4942,female,27000,116,encourage,not plan
4944,female,64710,73,encourage,not plan
4949,male,49200,104,not encourage,not plan
4950,male,15120,99,encourage,not plan
4955,female,18300,106,not encourage,not plan
4956,male,5400,70,not encourage,not plan
4957,female,79860,102,encourage,plan
4958,female,69630,117,encourage,plan
4959,male,10500,74,not encourage,not plan
4962,female,12800,76,not encourage,not plan
4965,female,40500,96,not encourage,not plan
4966,male,5800,110,not encourage,not plan
4967,female,29800,96,not encourage,not plan
4968,female,41500,106,not encourage,not plan
4973,female,45000,93,not encourage,not plan
4974,male,28080,85,encourage,not plan
4975,male,31950,131,encourage,not plan
4976,female,80410,96,encourage,plan
4980,male,21000,79,not encourage,not plan
4981,female,55800,138,encourage,not plan
4982,female,7500,83,not encourage,not plan
4983,female,29520,91,encourage,not plan
4984,female,40140,92,encourage,not plan
4986,male,7370,98,encourage,plan
4987,female,73810,132,encourage,plan
4989,female,7200,93,not encourage,not plan
4990,male,56540,110,encourage,plan
4991,male,32580,109,encourage,not plan
4992,female,62600,92,not encourage,not plan
4993,male,77660,95,encourage,plan
4995,male,72160,132,encourage,plan
4996,male,63690,113,encourage,plan
4997,female,23000,83,not encourage,not plan
4999,female,53820,121,encourage,not plan
5000,female,16000,126,not encourage,not plan
5006,male,64570,98,encourage,plan
5007,female,55550,139,encourage,plan
5008,male,46420,126,encourage,plan
5011,female,20600,66,not encourage,not plan
5012,female,31400,97,not encourage,not plan
5016,male,18600,93,not encourage,not plan
5021,female,40320,133,encourage,not plan
5024,male,73150,120,encourage,plan
5025,female,52800,65,encourage,plan
5026,male,34760,117,encourage,plan
5027,male,39200,86,not encourage,not plan
5028,male,46750,112,encourage,plan
5032,male,33840,86,encourage,not plan
5034,male,66440,122,encourage,plan
5035,female,30800,89,not encourage,not plan
5037,female,46000,96,not encourage,not plan
5039,male,9900,93,encourage,plan
5041,female,38340,96,encourage,not plan
5043,male,33110,124,encourage,plan
5045,male,65790,105,encourage,not plan
5048,male,40860,108,encourage,not plan
5051,male,34210,136,encourage,plan
5052,male,43290,79,encourage,not plan
5053,female,80410,136,encourage,plan
5054,male,30200,95,not encourage,not plan
5055,female,47400,91,not encourage,not plan
5056,male,20700,64,not encourage,not plan
5058,female,68310,108,encourage,plan
5059,female,48900,94,not encourage,not plan
