comments,reply
wooooooo its very yummmmmm I love it,im glad to hear you enjoyed it
thanx.. respect from,youre welcome! sending respect right back at ya
you re amazing,thank you so much! That means a lot to me.
thank u so much ...love u  my friend.Im from Dubai,youre welcome! sending warm regards back to you
u r awesome kabita ji,thank you for your kind words! I appreciate your encouragement
aap mujhe bahut pasand ho mam,shukriya! aapka yeh izhar bahut khushi ka mauka hai.
mast,bilkul koi baat nahi!
very good,thank you
i tried it today it came out delicious.. I have added kade masala and other  ingredients 1.5 times more for 2kg chicken and 1 kg 100 gm  basmathi rice and i followed each and every step  it came out really well.. My family loved the recipe.. Thank u for sharing this recipe,thats fantastic to hear! im thrilled the recipe turned out so well for you and that your family enjoyed it.
"very nice kabita sis ,I m in Madurai Tamil nadu",thank you so much! Madurai is such a beautiful place
nice presentation,i appreciate the compliment.
wow nice,i appreciate it
u r the best chef on youtube mam,"thank you so much, im thrilled to hear that you enjoy my cooking videos"
super recipe mam ....I tried it... It was awesome.... Thanks a lot... super you are Keep going,your feedback means a lot to me.
so nice Awesome,thank you! im glad you think so.
"Kabita mam, you are the only reason i learned cooking. Not only that i made cooking as my hobby, being a bachelor my roommates always wait for me to come from office and make something for them. All the credit goes to you mam, you are really awesome",it warms my heart to hear that
i love you darling,"i love you too, darling. you mean the world to me"
wonderful,thank you for your kind words
"sister aapka video dekhne ke baad mene life me first time biryani banai, aur jab biryani ban gayi toh gharwale ungliya chatate reh gaye, thank you sister","arrey wah, bohot accha hai! biryani banana ek art hai aur tumne pehli baar hi itna achha kiya, mubarak ho! Aur gharwale ki khushi ka koi mukabla nahi"
hello Kabita Ma am ... Aaj Maine Aapne bataya huye tarike se biryani Banayi... Bahut he acchi Bani thi... Thanks for sharing this recepe with us,"hey, thank you! Bahut achha laga sunke ki aapko biryani pasand aayi. Khushi hui ki aapne try kiya aur pasand aaya. Agar koi aur recipe try karna ho toh mujhse share karna mat bhoolna"
you are best,thank you for your kind words
So easy n delicious i learned frm u only,thank you!
tqqq Didi muja reply daynay ka khaliea.,"ji zaroor, apka koi sawal hai ya kuch specific janna chahte hain"
Kabitha mam appki lookg so cuteeeeeee,"arrey, thank you yaar! tum bhi bilkul cute ho"
mam aupka language bahut acha lagta hai,dhanyavad! Mujhe khushi hai ki aapko meri bhasha pasand aayi.
very nice mam Maine banaya bhut testy Bani thanks,thank you! Aapka yeh feedback bahut achha laga
you deserve 10M subscribers mam,i truly appreciate your support and encouragement
superb,thank you for the compliment
you are a gem Much love,sending much love right back to you
kabita mam i follow u regularly n ur dishes nvr fail to get me appreciaion from my mother,im delighted to hear that my recipes have been a hit with you and your mother
owowwo Nice one mam,im glad you liked it
u r tips r really good,im glad you find my tips helpful
i don t like your style,"i appreciate your feedback. is there something specific you d like to see differently, or any suggestions you have in mind"
gajab ek no ban,"arre bhai, bilkul ek no! thanks yaar, tumne dil khush kar diya"
mashallah Bahut Umda,"mashallah, bahut shukriya! aapka pyaar aur sammaan hamesha ke liye yaad rahega"
all credit goes to u,i really appreciate your acknowledgment
mem aap bhut acha Khan bante ho,dhanyavaad! Main khana banane mein dil se laga hoon
most wonderful and welcome,thank you very much!
swaad hi aa gya.. mast bni h biryani.. thanku mam,"bohot khushi hui ki biryani pasand aayi! aapka swagat hai, anytime"
u r good as always,thank you! I m here to help whenever you need assistance
my god bless your hands thank you mam,thank you so much for your kind words! its my pleasure to help
fantastic good job,your appreciation fuels my dedication
waah kavita di mjaa aa gya. Hats off to u,shukriya! aapka pyaar aur samman hamesha muskurahat ka saathi banata hai.
star***** you are a star in cooking....loyal,thank you for the stellar compliment
bhut sundr ha aap,shukriya! Aapka yeh pyara sandesh mere dil ko choo gaya
bahoot achhi,"kya baat hai, dil khush kar diya"
love u a lottttt...may god bless u wdh d entire happiness of dis world,your affection fills my heart with warmth and joy
ur SWEET mam,thank you for your kindness
very helpful.. Thanku mam,youre welcome! glad i could assist
bahut bahut bahut achha laga,yeh sunke mujhe bhi bahut khushi hui
i love your innovativ idea,your appreciation fuels my passion for innovation even more
dear aunty g You deserve an Oscar for cooking from us,thank you so much for the heartfelt compliment
mai apki bohot badhi fan hun,"wow, sach? Yeh toh amazing hai! Dil se shukriya, yaar"
great dear,thanks!
im ur biggest fan kabita ji.. n my mom also,im truly grateful to have fans like you and your mom
aap k bataney ka tarika bahut acha hey,dhanyavaad! aapki tareef sun kar khushi hu
hats off 2 u,thank you! i tip my hat right back at you
thanx...its very easy,glad I could make it straightforward for you
allah ne kya hunar baksha h,allah ne mujhe pyaar dena ka khaas hunar baksha hai
jb se apke btaye trike se khana bnane lgi hn mere hubby bahr khana hi chhod diye thhhhnxxx didu,arrey wah! bahut khushi hui sunke! Ab toh apka ghar ka khana hi sabka dil jeet raha hai na
i love your simple preparation..keep going,thank you! Ill continue to keep things straightforward and enjoyable
bohot achha...thank u,bahut shukriya
beautiful,thank you
I dont like it at all,I appreciate your honesty. Is there something we can do to make it better for you
Jal gaya tha,"Arre bhai, samajh gaya. Koi baat nahi, agli baar dekhte hain kaise kar sakte hain."
Naaam bada darshan chota not satisfied with this recipe lots of mistake,"Understood, we all make the necessary adjustments"
