id,commentText,Labels
Ugy_CBm-_CKA3YqrzcB4AaABAg,Pudina ptta nhi dalu to,7
Ugy9mx9nuTWJu4dRac14AaABAg,Chiken kacha tu ni rhy ga sis,7
Ugz8T2MKLYucL3dM9nh4AaABAg,"Hello mam, I love your all recipes.... 😋😋😋
All the ingredients are easily available, and your way of explaining is too good.",4
Ugx_1cCjRbCaDgL0FLF4AaABAg,Its awesome recipe plzz make handi chicken in handi☺️,2
UgzLhKVAJ6NN3nZXyjN4AaABAg,Yeh jo measurement hai.........kitne logon ke liye hai????????????????????????,7
UgxW2SfrAhKsLgxbKfB4AaABAg,Kabita mam I tried ur egg biryani everyone in my house just loved it thank so much that was so delicious it was all because of ur recipe,5
UgyLvHNOg7qyDpTYkR94AaABAg,cooker me kar sakte he na,7
Ugw1us5PMRRmNfecx3x4AaABAg,Mujhe bhot ache lagi apki respi mene subscribe kardia bhot ache he,2
UgxlqdbI_3aogI5YVgZ4AaABAg,Mam...dahi k jgh p kuch or use kr skte h kya,7
UgwSiinYQITcZ0qtdZ14AaABAg,Wooooooo it's very yummmmmm I love it,5
UgyGrEoh0oodMP7VABl4AaABAg,This is a perfect biryani recipe. Apko follow kar k banaya acchi bani biryani.,2
UgzUDtAcYFKGpRbJEgd4AaABAg,"Hi Didi, I was always curious that How Biryani Made! Thank you so much for putting this detailed video. This Weekend I will try and serve it to family!
Really Motivatied!",1
UgyQbevvQp5I3NpTQI54AaABAg,"thanx.. respect from🇧🇩👍🌹
Madam appne tel nahy dala?",5
Ugxgc7xzTrcn4G0wKjh4AaABAg,I made this.... it taste awesome... thank you kabita ji...,5
Ugxxuo6trsmZb5emdZR4AaABAg,You're amazing 😍,4
UgwIIhGL2SknSOjkstd4AaABAg,nice video,3
Ugws68hmM-oUzNkPaz14AaABAg,Aur kya is recipe ko cokar me bana sakte heplease zarur reply kijiye ga,7
UgzZrbxsuoynB_Q34_Z4AaABAg,Aur mam isme aap chawal kitne k g use kiya he,7
Ugw7hwicDir-7ZEy4ip4AaABAg,Rice me oil dale to chalega,7
UgxOcRj1_391Zms4KnB4AaABAg,"Masha Allah.. so yummy ..
The main thing about u , I like in this video is ..the way u show all the steps one by one.. and the way u cook, it's really looking so beautiful ",4
Ugy7ms4oapaLlp-Bb9t4AaABAg,"Thank you my friend..to post your video to make  chicken biryani ....I like it...
thank u so much ...
love u  my friend.
I'm from Dubai:",1
UgxBzigKjmm_sbyTgiV4AaABAg,Curd ko skip Kar sakte h maa Sahi bariyani masala and chicken masala ensabko skip Kar sakte h maa,7
UgzVzR5J0Hcd8Z0wBZN4AaABAg,why u not show to how to make merinate the chicken.,7
UgwvwNivd502SJ6oYN94AaABAg,"Hi Kabita...
Agar briyani ki quantity jyada ho to BHI kya cooking timing same rahegi...",7
UgzkEExZWEGchzQTArV4AaABAg,U r awesome kabita ji,4
UgyAc2X07sTrqysGy4N4AaABAg,Chicken Marinette  me oil ya ghee ni dalenge to wo jis bartan me hum bna rahe h uske niche chipkegi  nahi kya pls bttaiye na.. Mujhe bnani h,7
UgwGSomVyu5DYviT3PF4AaABAg,I love your recipes,4
UgyR89xN2E_MX6QatdV4AaABAg,"Kabita didi, plz tell us, which brand basmati rice you are using..plz",7
Ugw4LVw5IHl5CB8l_IV4AaABAg,Measure of rice and water?,7
UgymnKmKQHlaprKmOYB4AaABAg,U r too sweet...even after getting so many views and comments you read everyone's comments and respond.them..such a gesture 💗,4
Ugxmb1Z9PzhkbL2SI3p4AaABAg,I have already tried egg biryani.. now it's time for chicken 😋 and Mam you are master,4
Ugys34cYHq02CVYJjmB4AaABAg,Its very delicious,2
UgzR_S0TnLqnJWUkHdR4AaABAg,Aap mujhe bahut pasand ho mam.,4
UgwhMwQFxlwQTG2sIyR4AaABAg,Though I am unable to follow your language your step by step preparation is very clear to me...easy and simple method of preparing dum briyani...definitely will try...,4
UgxFSkHIFAPfmCMcGE14AaABAg,Mast 😂 😘 💕 ❤,3
UgwRbB6QI3PoCLjqWQp4AaABAg,Ap boht achi hain our  apki recipe bhi kamal  ki hai...,4
UgzggBu-7G4SaiQ42Y54AaABAg,Wao very nice recipe 👌,2
UgzYOSbLtoBQOgeX9cx4AaABAg,Ma abhi tak isko 6 baar bana chuki hu.... Unexpressable.... Par comment pahli baar kar rahi hu😆,6
UgxBJIQbQwtTwa3WXp54AaABAg,Very good,3
UgzLIDhoGfxG1XV5NON4AaABAg,I had made today ur biryani receipe it was tasty nd nice..👍🏻😋,2
Ugwf1lURL-xHU9wLc_R4AaABAg,Very nice recipe yummy,2
UgzwmG_-84IV0k7UfD14AaABAg,Nice recipe.....,2
UgxUuHwuddmO_xLLMw94AaABAg,Very well explained and it is a hit in my home...I have prepared it many times n everyone has just loved it...superb mam...keep it up,4
UgxcAQk-gEGKDBtJRNR4AaABAg,Superb mam,3
Ugxk8-U5CyqEdRpNzxt4AaABAg,So nice,3
UgzRoVHgCxVoBb82u8B4AaABAg,"Mam ,Wheh have to mix rose water?",7
UgxNKcpHUbClOyc6d_54AaABAg,Kewda water bhi use krte h kya isme???,7
UgxG9ZPfzzVLK7Pz99x4AaABAg,"This is the most simplest way of cooking biryani, will try it. Thanks for the video",5
UgwZtOuR0siULUDQ6k14AaABAg,Which brand shahi biryani masala and chicken masala as different brand is different flavour.....pls advice.,7
Ugy2_7OT6bxf5FMH8sJ4AaABAg,agr dhi pudina na ho to,7
Ugwa7oZgtYLUOFJxj9x4AaABAg,can we skip mint leaves?,7
UgzPBFPQbYSC6fPiCRp4AaABAg,Hi.didi.. Mujhe puchna tha ki.. Jo dahi apna dala.. Oo kesa tha. Mene last time dahi dala... Dahi khata tha.. Toh. Chiken gravy khata ho geya,7
UgzJyTOMmh_gRaS4OCd4AaABAg,Thanks,1
